script_type,model_key,model_label,model_dir,source,rain_id,event_label,event_title,delta,repeat_index,seed,num_steps,final_flooding,final_cso,total_overflow
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,0,20265714,95,1289.6197764558085,3097.8670393332313,4387.48681578904
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,1,20265715,95,1295.7173404208913,3260.324078958443,4556.041419379334
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,2,20265716,95,1295.594668584142,3065.4890144270894,4361.083683011231
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,3,20265717,95,1295.0985804987151,1846.505322135176,3141.6039026338913
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,4,20265718,95,1296.3439544889543,3043.5670114773793,4339.910965966334
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,5,20265719,95,1295.5576787101018,2045.7348139958738,3341.2924927059757
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,6,20265720,95,1294.3751395380186,2037.67437844229,3332.0495179803083
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,7,20265721,95,1290.6531814606537,2077.368930930853,3368.0221123915067
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,8,20265722,95,1290.0276068569704,1879.8496111918628,3169.877218048833
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,9,20265723,95,1296.5926386950919,3499.0693733221856,4795.662012017277
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,10,20265724,95,1294.8488111162378,2046.3661243454633,3341.2149354617013
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,11,20265725,95,1296.40417129935,2037.3622827326174,3333.7664540319674
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,12,20265726,95,1296.9935743794254,3036.8967030289814,4333.890277408407
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,13,20265727,95,1296.5797287271625,2665.0584229690826,3961.638151696245
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,14,20265728,95,1289.2999150971198,1865.1597464788197,3154.459661575939
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,15,20265729,95,1289.272619252986,2275.1563799274,3564.428999180386
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,16,20265730,95,1295.999207310186,3273.453665717451,4569.452873027637
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,17,20265731,95,1292.7869887879447,1851.9378057469646,3144.724794534909
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,18,20265732,95,1295.59768042224,2041.716979627249,3337.3146600494892
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,19,20265733,95,1295.655203259541,3077.987661361343,4373.642864620884
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,20,20265734,95,1295.4783341162379,2047.4697584272078,3342.9480925434455
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,21,20265735,95,1294.6284897310168,3252.749812571042,4547.378302302059
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,22,20265736,95,1289.2377997894346,1861.0355543652827,3150.2733541547173
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,23,20265737,95,1294.4467359641294,3080.229896604653,4374.676632568782
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,24,20265738,95,1286.7679301260125,1888.6261585497693,3175.394088675782
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,25,20265739,95,1294.3498905210815,1432.7584377423598,2727.1083282634413
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,26,20265740,95,1296.0513955305214,3051.025181032476,4347.076576562998
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,27,20265741,95,1295.8614665641123,3044.8691390946274,4340.7306056587395
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,28,20265742,95,1295.4154155502772,3043.736514945873,4339.15193049615
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,29,20265743,95,1294.7013929594934,2039.2772787304102,3333.9786716899034
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,30,20265744,95,1295.986393105384,3065.00179371412,4360.988186819504
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,31,20265745,95,1292.7850346717191,1862.139382481804,3154.924417153523
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,32,20265746,95,1296.3572834816823,3250.3444508911293,4546.701734372811
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,33,20265747,95,1295.708807783312,2665.64430634058,3961.353114123892
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,34,20265748,95,1296.0129111612346,3063.3025773070663,4359.315488468301
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,35,20265749,95,1295.9077086194945,3064.924890089814,4360.8325987093085
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,36,20265750,95,1296.0662902215104,3497.1300775264604,4793.196367747971
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,37,20265751,95,1288.1373740697131,2097.794565627311,3385.931939697024
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,38,20265752,95,1294.0118826835444,1632.742729983718,2926.7546126672623
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,39,20265753,95,1296.4160716010288,3070.713859300138,4367.1299309011665
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,40,20265754,95,1296.034215820358,3046.4014652860365,4342.435681106394
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,41,20265755,95,1290.47919611995,2084.016988868356,3374.4961849883057
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,42,20265756,95,1295.8315397906613,3261.164358203276,4556.995897993937
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,43,20265757,95,1294.1005796568782,2041.3821598995207,3335.482739556399
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,44,20265758,95,1286.7678440224377,3116.227443317432,4402.99528733987
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,45,20265759,95,1294.420575417377,2049.7493982956553,3344.169973713032
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,46,20265760,95,1296.6561886410639,3468.791855726729,4765.448044367793
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,47,20265761,95,1289.3239735307775,2273.430715856748,3562.7546893875256
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,48,20265762,95,1296.6081252171919,3059.394937227423,4356.003062444614
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.05,49,20265763,95,1293.883889801007,1868.3264377766916,3162.2103275776985
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.1,0,20270714,95,1293.7789085614907,2046.2003572457165,3339.9792658072074
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.1,1,20270715,95,1294.274972749269,2626.900662133994,3921.1756348832632
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.1,2,20270716,95,1294.6801985921893,2620.399324583275,3915.079523175464
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.1,3,20270717,95,1294.456881774639,3234.4317857022274,4528.888667476866
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.1,4,20270718,95,1298.397149091658,2618.5050676641517,3916.9022167558096
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.1,5,20270719,95,1292.97069993867,2058.916973444361,3351.8876733830307
output_noise,reward3_base,DQN reward3 Base,Results_DQN_reward3_o/model,design,70,design_21,Design Rainfall 21,0.1,6,20270720,95,1293.522430687207,2609.2312756041383,3902.753706291345
