script_type,model_key,model_label,model_dir,source,rain_id,event_label,event_title,delta,repeat_index,seed,num_steps,final_flooding,final_cso,total_overflow
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,0,20265714,95,1294.8264461694062,577.6120830871401,1872.4385292565462
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,1,20265715,95,1294.90384122995,577.6082888499967,1872.512130079947
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,2,20265716,95,1130.2217039079378,1215.7948478669543,2346.016551774892
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,3,20265717,95,1294.5648188711598,577.609523261124,1872.1743421322838
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,4,20265718,95,1294.7375232070967,577.6092509809163,1872.3467741880131
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,5,20265719,95,1066.3709060277654,1282.1510734945434,2348.521979522309
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,6,20265720,95,1293.308649538577,577.6125772790316,1870.9212268176084
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,7,20265721,95,1229.153163572897,775.8834552562025,2005.0366188290996
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,8,20265722,95,1221.1165224737451,773.4516224143016,1994.5681448880468
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,9,20265723,95,1221.5977370919318,775.7531776441185,1997.3509147360503
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,10,20265724,95,1218.9332753714373,781.5626473559761,2000.4959227274135
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,11,20265725,95,1295.2706114099826,577.6213230499,1872.8919344598826
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,12,20265726,95,1220.8813409790814,771.5150805452031,1992.3964215242845
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,13,20265727,95,1297.3453338248287,577.6157708349369,1874.9611046597656
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,14,20265728,95,1220.1799532065568,773.7747234374178,1993.9546766439746
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,15,20265729,95,1002.6618541034794,1307.095034973858,2309.7568890773373
input_output_noise,reward3_gienv,DQN reward3 GIenv,Results_DQN_reward3_train_GI_o/model,design,70,design_21,Design Rainfall 21,0.05,16,20265730,95,1361.7842746311255,577.6113554438014,1939.3956300749269
